id,gloss,text
0001,سوال هو,من هو
0002,هو معلم لغه اشاره,هو مدرس لغه اشاره
0003,استفهام هو معلم هو,هل انت مدرس
0004,هو معلم لا انا مدرسه,انت لست مدرس انا طالب
0005,هو سوال,هو من
0006,هو صديق مدرسه,هو زميلي في المدرسه
0007,استفهام هو صديق مدرسه,هل هو زميلك في المدرسه
0008,انا اسره رقم ثلاث اشخاص,اسرتي تتكون من ثلاث اشخاص
0009,رقم عمر ابن بنت,كم عمر ابنتك
0010,عمر اربع سن عمر,عمرها اربع سنوات
0011,عمر سن خمسون سن,عمره خمسين سنه
0012,سوال بنت ابن,اين ابنته
0013,عمر ابن خمسون سن,عمر ابنه خمسين سنه
0014,معرفه هو لغه اشاره,هو يعرف لغه الاشاره
0015,معرفه لغه اشاره,اعرف لغه الاشاره
0016,هو معرفه ام لغه اشاره,هل تعرف والدتك لغه الاشاره
0017,لا معرفه لغه اشاره,لا تعلم لغه الاشاره
0018,ممكن هو قدره كتابه اسم هو,ممكن تكتب اسمك
0019,انا كتابه,انا اكتب
0020,استفهام تاريخ الان سوال,ما هو تاريخ اليوم
0021,الان واحد شهر عشر,اليوم هو واحد اكتوبر
0022,انا ذهاب مدرسه سبب كره_قدم,انا اذهب الى المدرسه لالعب كره القدم
0023,انا قلب قدره,انوي القيام به
0024,هو رغبه شرب سوال,ماذا تريد ان تشرب
0025,انا رغبه شرب شاي,انا اريد ان اشرب الشاي
0026,هو رغبه اكل سوال,ماذا تريد ان تاكل
0027,انا رغبه اكل رز,اريد ان اكل رز
0028,انا رغبه ذهاب مكتبه بعد صيف,اريد ان اذهب الى المكتبه بعد الظهر
0029,هو رغبه بعد صيف سوال,ماذا تريد ان تفعل بعد الظهر
0030,انا رغبه ذهاب لوحه بقاله,اريد ان اذهب الى السوبرماركت بعد الظهر
0031,سبب رغبه شراء,ماذا تريد ان تشتري
0032,انا رغبه كوب شراء,اريد شراء كوب
0033,انا رغبه معرفه لغه اشاره,اريد ان اتعلم لغه الاشاره
0034,انا رغبه ذهاب مدرسه سبب قراءه غدا,اريد ان اذهب الى المدرسه لقراءه الكتب غدا
0035,رقم معلم مدرسه هو,كم عدد المدرسين في مدرستك
0036,رقم اشخاص مدرسه هو مدرسه,كم عدد الاشخاص في مدرستك
0037,سوال قط,اين القطه
0038,قط صغير تحت طاوله,القط الصغير تحت الطاوله
0039,اب هو منزل يوجد,والدك في المنزل
0040,لا منزل لا_يوجد,ليس في المنزل
0041,سوال اب,اين والدك
0042,اب مستشفى يوجد,والدي في المستشفى
0043,سوال عمل,اين يعمل
0044,صديق انا مدرسه,صديقي في المدرسه
0045,انا ام منزل,امي في المنزل
0046,سوال كوب شرب,اين الكوب
0047,سوال صديق هو,اين اصدقائك
0048,قراءه سوال مكان مدرسه,القراءه في المدرسه
0049,طاوله هو سوال,ماذا يوجد على الطاوله
0050,طاوله كتاب لاب_توب يوجد,هناك كتب و كمبيوترعلى الطاوله
0051,هو اسم هو,ما اسمه
0052,اسم هو ولد خلف,ما اسم ذلك الرجل في الخلف
0053,استئذان انا كرسي الان,ممكن اجلس على الكرسي
0054,استئذان دعوه كرسي,من فضلك اجلس
0055,سوال كرسي يوجد سوال,ماذا يوجد على الكرسي
0056,كرسي قط صغير فوق_كرسي,هناك قط صغير على الكرسي
0057,يوجد مدرسه يوجد بيع,يوجد متجر في المدرسه
0058,رقم وقت الان,كم الوقت الان
0059,وقت سوال عشر,الساعه العاشره
0060,وقت هو صيف اكل وقت سوال,متى تاكل في الظهر
0061,تاريخ وقت اب انا منزل اخر تاريخ,متى سيعود ابي الى المنزل
0062,وقت خمس ليل,الوقت الخامسه مساء
0063,هو تاريخ ذهاب سينما فيلم تاريخ,متى نذهب الى السينما
0064,هو الان مطر,يوجد مطر الان
0065,لا مطر الان لا,لا يوجد مطر الان
0066,لا برد الان,لا يوجد برد الان
0067,سوال صحه هو,كيف حالك
0068,شكر د,شكرا دكتور
0069,هو مطر غدا,هل ستمطر غدا
0070,لا غدا مطر لا,لن تمطر غدا
0071,هو عمل سوال,ماذا تعمل
0072,انا شعر قراءه,انا اقرا
0073,انا شراء تفاحه موزه انواع,انا اشتريت فواكه
0074,انا سعيد مقابله,انا سعيد بلقائك
0075,هو رغبه رياضه سوال قلب رغبه سوال,ما هي الرياضه التي تحبها
0076,انا حب كره_قدم كثير حب,احب لعب كره القدم كثيرا
0077,سوال هو شراء تفاحه,هل اشتريت التفاح
0078,انا شراء تفاحه لا_يوجد,انا لم اشتري التفاح
0079,هو لبس جيد حلو,لبسه جميل
0080,جو برد قليل,الجو بارد قليلا
0081,انا الان ماضي تعب,كنت متعب قليلا امس
0082,هو مشاهده هاتف مشاهده,هل رايت هاتفي
0083,هو صديق انا,هو صديقي
0084,سوال عمر اخ هو,كم هو عمر اخيك
0085,انا استيقاظ وقت خمس صباح كل_يوم,استيقظ في الخامسه كل صباح
0086,نهايه كتابه منزل نهايه,انتهيت من واجباتي
0087,انا خلط اكل خلط كل_يوم ليل,اطبخ كل ليله
